ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
2083,,"Hooded Grosbeak","HOOG","*","Coccothraustes abeillei","COCABE",
2084,,"Evening Grosbeak","EVGR",,"Coccothraustes vespertinus","COCVES",
2085,,"Hawfinch","HAWF",,"Coccothraustes coccothraustes","COCCOT","*"
2086,,"Laysan Finch","LAFI",,"Telespiza cantans","TELCAN",
2087,,"Nihoa Finch","NIFI",,"Telespiza ultima","TELULT",
2088,,"Ou","OU",,"Psittirostra psittacea","PSIPSI",
2089,,"Lanai Hookbill","LAHO",,"Dysmorodrepanis munroi","DYSMUN",
2090,,"Palila","PALI",,"Loxioides bailleui","LOXBAI",
2091,,"Lesser Koa-Finch","LEKF",,"Rhodacanthis flaviceps","RHOFLA",
2092,,"Greater Koa-Finch","GRKF",,"Rhodacanthis palmeri","RHOPAL",
2093,,"Kona Grosbeak","KOGR",,"Chloridops kona","CHLKON",
2094,,"Maui Parrotbill","MAPA",,"Pseudonestor xanthophrys","PSEXAN",
2095,,"Hawaii Amakihi","HAAM",,"Hemignathus virens","HEMVIR",
2096,,"Oahu Amakihi","OAAM",,"Hemignathus flavus","HEMFLS","*"
2097,,"Kauai Amakihi","KAAM",,"Hemignathuus kauaiensis","HEMKAU",
2098,,"Anianiau","ANIA",,"Hemignathus parvus","HEMPAR",
2099,,"Greater Amakihi","GRAM",,"Hemignathus sagittirostris","HEMSAG",
2100,,"Lesser Akialoa","LEAK",,"Hemignathus obscurus","HEMOBS",
2101,,"Greater Akialoa","GAKI","**","Hemignathus ellisianus","HEMELL",
2102,,"Nukupuu","NUKU",,"Hemignathus lucidus","HEMLUC",
2103,,"Akiapolaau","AKIA",,"Hemignathus munroi","HEMMUN",
2104,,"Akikiki","AKIK",,"Oreomystis bairdi","OREBAI",
2105,,"Hawaii Creeper","HCRE","**","Oreomystis mana","OREMAN",
2106,,"Oahu Alauahio","OAAL",,"Paroreomyza maculata","PARMAA","*"
2107,,"Kakawahie","KAKA",,"Paroreomyza flammea","PARFLA",
2108,,"Maui Alauahio","MAAL",,"Paroreomyza montana","PARMON",
2109,,"Akekee","AKEK",,"Loxops caeruleirostris","LOXCAE",
2110,,"Akepa","AKEP",,"Loxops coccineus","LOXCOC",
2111,,"Ula-ai-hawane","UAIH",,"Ciridops anna","CIRANN",
2112,,"Iiwi","IIWI",,"Vestiaria coccinea","VESCOC",
2113,,"Hawaii Mamo","HAMA",,"Drepanis pacifica","DREPAC",
2114,,"Black Mamo","BLMA",,"Drepanis funerea","DREFUN",
2115,,"Akohekohe","AKOH",,"Palmeria dolei","PALDOL",
2116,,"Apapane","APAP",,"Himatione sanguinea","HIMSAN",
2117,,"Poo-uli","POUL",,"Melamprosops phaeosoma","MELPHA",
2118,,"House Sparrow","HOSP",,"Passer domesticus","PASDOM",
2119,,"Eurasian Tree Sparrow","ETSP",,"Passer montanus","PASMON",
2120,,"Village Weaver","VIWE",,"Ploceus cucullatus","PLOCUC",
2121,,"Orange Bishop","ORBI",,"Euplectes franciscanus","EUPFRA",
2122,,"Yellow-crowned Bishop","YCBI",,"Euplectes afer","EUPAFE",
2123,,"Red-cheeked Cordonbleu","RCCO",,"Uraeginthus bengalus","URABEN",
2124,,"Lavender Waxbill","LAVW","*","Estrilda caerulescens","ESTCAE",
2125,,"Orange-cheeked Waxbill","OCHW","*","Estrilda melpoda","ESTMEL",
2126,,"Black-rumped Waxbill","BRUW","*","Estrilda troglodytes","ESTTRO",
2127,,"Common Waxbill","COMW","*","Estrilda astrild","ESTAST",
2128,,"Red Avadavat","REAV",,"Amandava amandava","AMAAMN","*"
2129,,"Indian Silverbill","INSI",,"Lonchura malabarica","LONMAB","*"
2130,,"African Silverbill","AFSI",,"Lonchura cantans","LONCAN",
2131,,"Bronze Mannikin","BRMA",,"Lonchura cucullata","LONCUC",
2132,,"Nutmeg Mannikin","NUMA",,"Lonchura punctulata","LONPUN",
2133,,"Tricolored Munia","TRMU",,"Lonchura malacca","LONMAC","*"
2134,,"Chestnut Munia","CHMU",,"Lonchura atricapilla","LONATR",
2135,,"Java Sparrow","JASP",,"Padda oryzivora","PADORY",
2136,,"Pin-tailed Whydah","PTWH",,"Vidua macroura","VIDMAC",
2137,"+","Unidentified Bird","UNBI",,"Aves (gen, sp)","AVEGSP",
2138,"+","Crested Myna","CRMY",,"Acridotheres cristatellus","ACRCRI",
